Project ID,T type sub-class,Avg ISI,F I curve slope
1HEYEW7GMUKWIQW37BO,Vip interneuron,55.88,0.214655184
1HEYEW7GMUKWIQW37BO,Vip interneuron,34.89142857,0.444999997
1HEYEW7GMUKWIQW37BO,Sst interneuron,50.83333333,0.437068957
1HEYEW7GMUKWIQW37BO,Vip interneuron,148.8066667,0.169999999
1HEYEW7GMUKWIQW37BO,Sst interneuron,105.99,0.152500009
1HEYEW7GMUKWIQW37BO,Sst interneuron,70.47428571,0.389374991
1HEYEW7GMUKWIQW37BO,Vip interneuron,70.58166667,0.23
1HEYEW7GMUKWIQW37BO,Sst interneuron,,0.045390734
1HEYEW7GMUKWIQW37BO,Sst interneuron,59.075,0.37863247
1HEYEW7GMUKWIQW37BO,Vip interneuron,45.619,0.505
1HEYEW7GMUKWIQW37BO,Sst interneuron,24.9,0.103436019
1HEYEW7GMUKWIQW37BO,Sst interneuron,58.21,0.304310345
1HEYEW7GMUKWIQW37BO,Sst interneuron,41.28666667,0.403304348
1HEYEW7GMUKWIQW37BO,Vip interneuron,67.11285714,0.005
1HEYEW7GMUKWIQW37BO,Sst interneuron,,0.014655172
1HEYEW7GMUKWIQW37BO,Sst interneuron,61.825,0.074999999
1HEYEW7GMUKWIQW37BO,Sst interneuron,42.06695652,0.534146331
1HEYEW7GMUKWIQW37BO,Sst interneuron,85.632,0.139655168
1HEYEW7GMUKWIQW37BO,Vip interneuron,63.99,0.302941178
1HEYEW7GMUKWIQW37BO,Sst interneuron,50.98888889,0.41
1HEYEW7GMUKWIQW37BO,Sst interneuron,35.62,0.05
1HEYEW7GMUKWIQW37BO,Sst interneuron,43.9352381,0.522058811
1HEYEW7GMUKWIQW37BO,Sst interneuron,34.34,0.095
1HEYEW7GMUKWIQW37BO,Vip interneuron,110.38,0.171511628
1HEYEW7GMUKWIQW37BO,Sst interneuron,42.64736842,0.555000022
1HEYEW7GMUKWIQW37BO,Vip interneuron,33.45333333,0.067647059
1HEYEW7GMUKWIQW37BO,Sst interneuron,76.52909091,0.26500001
1HEYEW7GMUKWIQW37BO,Sst interneuron,68.1175,0.262931034
